id	borough	name	number	x	y
10310400010007	MN	PS 7 SAMUEL STERN	427	1001035	230969
10310400010012	MN	TAG YOUNG SCHOLARS	504	1000231	228032
10310400010037	MN	RIVER EAST ELEMENTARY	219	1003485	229613
10310400010038	MN	PS 38 ROBERTO CLEMENTE	295	999546	226615
10310400010050	MN	PS 50 VITO MARCANTONIO	362	1000611	225483
10310400010057	MN	JAMES WELDON JOHNSON SCHOOL	768	1000420	229726
10310400010072	MN	THE LEXINGTON ACADEMY	568	998801	227626
10310400010083	MN	PS 83 LUIS MUNOZ RIVERA	421	1000322	228326
10310400010096	MN	PS 96 JOSEPH LANZETTA	555	1001643	230632
10310400010102	MN	PS 102 JACQUES CARTIER	314	1001301	228923
10310400010108	MN	PS 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL CTR	719	998688	228933
10310400010112	MN	PS 112 JOSE CELSO BARBOSA	329	1003485	229613
10310400010146	MN	PS 146 ANN M SHORT	464	1001217	226932
10310400010155	MN	PS 155 WILLIAM PACA	386	1001999	229837
10310400010171	MN	PS 171 PATRICK HENRY	648	997700	227938
10310400010182	MN	THE BILINGUAL BICULTURAL SCHOOL	382	1000322	228326
10310400010206	MN	PS 206 JOSE CELSO BARBOSA	258	1003485	229613
10310400010375	MN	MOSAIC PREPARATORY ACADEMY	287	999604	229322
10310400010497	MN	CENTRAL PARK EAST I	207	998513	228429
10310400010964	MN	CENTRAL PARK EAST II	227	997700	227938
10310500010030	MN	PS 30 HERNANDEZ/HUGHES	277	1002117	232805
10310500010036	MN	PS 36 MARGARET DOUGLAS	641	996040	234642
10310500010046	MN	PS 46 ARTHUR TAPPAN	744	1001883	242196
10310500010092	MN	PS 92 MARY MCLEOD BETHUNE	298	999242	236178
10310500010123	MN	PS 123 MAHALIA JACKSON	714	999597	238109
10310500010125	MN	PS 125 RALPH BUNCHE	235	996507	234674
10310500010129	MN	PS 129 JOHN H FINLEY	621	997531	236176
10310500010133	MN	PS 133 FRED R MOORE	304	1001087	234266
10310500010154	MN	PS 154 HARRIET TUBMAN	396	998395	234568
10310500010161	MN	PS 161 PEDRO ALBIZU CAMPOS	934	997404	237198
10310500010175	MN	PS 175 HENRY H GARNET	371	1000109	235986
10310500010194	MN	PS 194 COUNTEE CULLEN	290	1000549	238471
10310500010197	MN	PS 197 JOHN B RUSSWURM	375	1001316	235675
10310500010200	MN	PS 200 THE JAMES MCCUNE SMITH SCHOOL	503	1002033	239485
10310500010318	MN	THURGOOD MARSHALL ACADEMY LOWER SCHOOL	204	1001455	240156
10310600010004	MN	PS 4 DUKE ELLINGTON	701	1000412	243451
10310600010005	MN	PS 5 ELLEN LURIE	781	1005750	251746
10310600010008	MN	PS 8 LUIS BELLIARD	595	1001789	245040
10310600010018	MN	PS 18 PARK TERRACE	402	1008662	256785
10310600010028	MN	PS 28 WRIGHT BROTHERS	902	1000294	242268
10310600010048	MN	PS 48 PO MICHAEL J BUCZEK	602	1002611	250126
10310600010098	MN	PS 98 SHORAC KAPPOCK	668	1006981	255430
10310600010115	MN	PS 115 ALEXANDER HUMBOLDT	680	1002195	247547
10310600010128	MN	PS 128 AUDUBON	722	1001211	245694
10310600010132	MN	PS 132 JUAN PABLO DUARTE	794	1002519	249167
10310600010152	MN	PS 152 DYCKMAN VALLEY	779	1004283	252536
10310600010153	MN	PS 153 ADAM CLAYTON POWELL	1029	998752	240403
10310600010173	MN	PS 173	685	1000910	247307
10310600010178	MN	PROFESSOR JUAN BOSCH PUBLIC SCHOOL	238	1004071	252324
10310600010187	MN	PS/IS 187 HUDSON CLIFFS	794	1001722	251235
10310600010189	MN	PS 189	1076	1004155	250073
10310600010192	MN	PS 192 JACOB H SCHIFF	370	997236	238339
10310600010210	MN	PS/IS 210 21ST CENTURY ACADEMY FOR COMMUNITY LDERSHIP	436	999563	241675
10310600010278	MN	PAULA HEDBAVNY SCHOOL	509	1008494	256864
10310600010311	MN	AMISTAD DUAL LANGUAGE SCHOOL	420	1005321	254933
10310600010314	MN	MUSCOTA	258	1005321	254933
10310600010325	MN	PS 325	390	997236	238339
10310600010366	MN	WASHINGTON HEIGHTS ACADEMY	308	1005926	254640
10310600010368	MN	HAMILTON HEIGHTS SCHOOL	247	998752	240403
10307500011094	MN	PS 94	219	990520	201552
10307500011811	MN	PS 811 MICKEY MANTLE SCHOOL	331	990005	225759
10310100010015	MN	PS 15 ROBERTO CLEMENTE	203	990141	202349
10310100010019	MN	PS 19 ASHER LEVY	328	988547	205239
10310100010020	MN	PS 20 ANNA SILVER	625	988044	202068
10310100010034	MN	PS 34 FRANKLIN D ROOSEVELT	393	991163	203782
10310100010063	MN	PS 63 WILLIAM MCKINLEY	181	988071	203210
10310100010064	MN	PS 64 ROBERT SIMON	322	989351	202733
10310100010110	MN	PS 110 FLORENCE NIGHTINGALE	435	989804	200109
10310100010134	MN	PS 134 HENRIETTA SZOLD	371	988970	199527
10310100010137	MN	PS 137 JOHN L BERNSTEIN	232	988970	199527
10310100010140	MN	PS 140 NATHAN STRAUS	397	988749	201282
10310100010142	MN	PS 142 AMALIA CASTRO	430	988653	200908
10310100010184	MN	PS 184 SHUANG WEN	685	988287	198359
10310100010188	MN	PS 188 THE ISLAND SCHOOL	401	990520	201552
10310100010315	MN	THE EAST VILLAGE COMMUNITY SCHOOL	212	990277	204339
10310100010361	MN	THE CHILDREN'S WORKSHOP SCHOOL	252	990277	204339
10310100010363	MN	NEIGHBORHOOD SCHOOL	321	988071	203210
10310100010364	MN	EARTH SCHOOL	338	989351	202733
10310200010001	MN	PS 1 ALFRED E SMITH	544	984949	198878
10310200010002	MN	PS 2 MEYER LONDON	832	986600	199008
10310200010003	MN	PS 3 CHARRETTE SCHOOL	720	982601	206184
10310200010006	MN	PS 6 LILLIE D BLAKE	809	995210	222630
10310200010011	MN	PS 11 WILLIAM T HARRIS	633	984044	210404
10310200010033	MN	PS 33 CHELSEA PREP	381	984184	212163
10310200010040	MN	PS 40 AUGUSTUS SAINT-GAUDENS	589	989241	207021
10310200010041	MN	PS 41 GREENWICH VILLAGE	757	984501	207221
10310200010042	MN	PS 42 BENJAMIN ALTMAN	810	986793	200181
10310200010051	MN	PS 51 ELIAS HOWE	339	985383	216862
10310200010059	MN	PS 59 BEEKMAN HILL INTERNATIONAL	502	994261	217582
10310200010077	MN	PS 77 LOWER LAB SCHOOL	352	997980	225284
10310200010089	MN	PS 89	523	980378	200503
10310200010111	MN	PS 111 ADOLPH S OCHS	612	987082	218308
10310200010116	MN	PS 116 MARY LINDLEY MURRAY	785	990372	210523
10310200010124	MN	PS 124 YUNG WING	926	985354	199806
10310200010126	MN	PS 126 JACOB AUGUST RIIS	785	984965	198186
10310200010130	MN	PS 130 HERNANDO DESOTO	1022	984714	201104
10310200010150	MN	PS 150	185	981234	201421
10310200010151	MN	YORKVILLE COMMUNITY SCHOOL	177	998691	223694
10310200010158	MN	PS 158 BAYLARD TAYLOR	739	997893	219891
10310200010183	MN	PS 183 ROBERT L STEVENSON	646	995959	217554
10310200010198	MN	PS 198 ISADOR E IDA STRAUS	568	997980	225284
10310200010212	MN	PS 212 MIDTOWN WEST	343	987390	216649
10310200010217	MN	PS/IS 217 ROOSEVELT ISLAND	418	996320	213836
10310200010234	MN	PS 234 INDEPENDENCE SCHOOL	846	981234	201421
10310200010267	MN	PS 267	46	997893	219891
10310200010276	MN	BATTERY PARK CITY SCHOOL	331	979410	196632
10310200010290	MN	PS 290 MANHATTAN NEW SCHOOL	637	997329	221700
10310200010347	MN	AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL	224	989424	208287
10310200010397	MN	SPRUCE STREET SCHOOL	108	982563	199047
10310200011225	MN	ELLA BAKER SCHOOL	327	995392	218222
10310300010009	MN	PS 9 SARAH ANDERSON	597	991379	225360
10310300010075	MN	PS 75 EMILY DICKINSON	687	991450	228958
10310300010076	MN	PS 76 A PHILLIP RANDOLPH	461	997690	233123
10310300010084	MN	PS 84 LILIAN WEBER	518	992995	226907
10310300010087	MN	PS 87 WILLIAM SHERMAN	980	990337	224076
10310300010145	MN	PS 145 THE BLOOMINGDALE SCHOOL	484	993771	230412
10310300010149	MN	PS 149 SOJOURNER TRUTH	431	998622	231708
10310300010163	MN	PS 163 ALFRED E SMITH	626	992980	228978
10310300010165	MN	PS 165 ROBERT E SIMON	769	993677	231707
10310300010166	MN	PS 166 THE RICHARD ROGERS SCHOOL OF THE ARTS & SCIENCE	610	991849	226705
10310300010180	MN	PS 180 HUGO NEWMAN	624	996469	233500
10310300010185	MN	PS 185 JOHN M LANGSTON	251	998053	230182
10310300010191	MN	PS 191 AMSTERDAM	495	987708	220393
10310300010199	MN	PS 199 JESSIE ISADOR STRAUS	774	988564	222579
10310300010208	MN	PS 208 ALAIN L LOCKE	216	998053	230182
10310300010241	MN	PS 241 FAMILY ACADEMY	155	996547	231315
10310300010242	MN	PS 242 GWENDOLYN POWELL BROWN COMPUTER SCHOOL	194	998539	232949
10310300010333	MN	PS 333 MANHATTAN SCHOOL FOR CHILDREN	705	992277	227605
10310300010334	MN	THE ANDERSON SCHOOL	571	990453	223648
10310300010452	MN	PS 452	55	990453	223648
10310300011859	MN	SPECIAL MUSIC SCHOOL	134	988965	221724
